ranking_status,review_status,source_run_status,source_completed_at_utc,location_status,distance_status,unverified_location_value,unverified_distance_value,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,source
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2017,Ford,F-350,lariat,3,44995,No change noted,Unchanged for 4 weeks,4,44995,44995,0,0,252787,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1739835301,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke-long/1739835301,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2017,Ford,F-350,Unknown,1,43999,No change noted,Unchanged for 2 weeks,2,43999,43999,0,0,249322,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740057476,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-ford-f-350-super-duty-8ft-long-box-6-7l-diesel-matching-c/1740057476,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2017,Ford,F-350,xlt,2,55990,No change noted,Unchanged for 2 weeks,2,55990,55990,0,0,170658,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740150969,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-super-duty-f-350-srw-xlt-160-wheel-base-6-7-l/1740150969,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2018,Ford,F-350,lariat,3,46000,No change noted,Unchanged for 7 weeks,7,46000,46000,0,0,156000,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1739026777,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-350-lariat-6-7l-diesel-srw/1739026777,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2018,Ford,F-350,Unknown,1,43995,No change noted,Unchanged for 2 weeks,2,43995,43995,0,0,274000,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1740429976,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2018-ford-f-350-vanair-air-n-arc-250-diesel-6-7l-4x4-marand/1740429976,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2018,Ford,F-350,xlt,2,34650,No change noted,Unchanged for 1 weeks,1,34650,34650,0,0,250594,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740794354,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-ford-super-duty-f-350-srw-xlt-6-7l-v8-diesel-my-key/1740794354,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2019,Ford,F-350,fx4,3,45900,No change noted,Unchanged for 7 weeks,7,45900,45900,0,0,176500,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1738744925,https://www.kijiji.ca/v-cars-trucks/nanaimo/2019-ford-f350-6-7l-diesel/1738744925,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Edmonton, AB",154,2020,Ford,F-350,fx4,3,54900,No change noted,Unchanged for 11 weeks,11,54900,54900,0,0,198000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1724509335,https://www.kijiji.ca/v-cars-trucks/edmonton/2020-ford-f-350-fx4-offroad-package-4x4-6-7l-diesel/1724509335,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Saskatoon, SK",538,2020,Ford,F-350,lariat,3,41995,No change noted,"Down $1,000 over 3 weeks",3,42995,41995,0,-1000,351358,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1739969913,https://www.kijiji.ca/v-cars-trucks/saskatoon/2020-ford-super-duty-f-350-drw-lariat-crew-cab-6-7l-v8-diesel/1739969913,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2020,Ford,F-350,xlt,2,39500,No change noted,Unchanged for 3 weeks,3,39500,39500,0,0,246940,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1740180304,https://www.kijiji.ca/v-cars-trucks/kamloops/well-kept-2020-ford-f350-6-7l-diesel-dually-xlt/1740180304,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2020,Ford,F-350,xlt,2,59995,No change noted,First seen this week,0,59995,59995,0,0,86440,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740698493,https://www.kijiji.ca/v-cars-trucks/calgary/2020-ford-f-350-xlt-value-613a-6-7l-powerstroke-diesel/1740698493,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2021,Ford,F-350,xlt,2,44900,No change noted,"Down $3,000 over 3 weeks",3,47900,44900,0,-3000,109300,6.7L,Diesel,Salvage/rebuilt,N/A,Unknown,Dealer,,,,,1739919892,https://www.kijiji.ca/v-cars-trucks/morden/2021-ford-f-350-crew-dually-flatbed-4x4-xlt-6-7l-rebuilt-title/1739919892,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2022,Ford,F-350,fx4,3,59990,No change noted,Down $5 over 2 weeks,2,59995,59990,0,-5,59505,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1736861477,https://www.kijiji.ca/v-cars-trucks/lloydminster-ab/2022-ford-f-350-xlt-premium-fx4-6-7l-diesel/1736861477,Kijiji
