rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
21,2019,Subaru,Forester,sport,2,24495,No change noted,First seen this week,0,24495,24495,0,0,78290,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736870452,https://www.kijiji.ca/v-cars-trucks/granby/2019-subaru-forester-sport-2-5i-awd/1736870452,0.4818766693607586,Kijiji
22,2020,Subaru,Forester,sport,2,16995,No change noted,First seen this week,0,16995,16995,0,0,179663,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1736711707,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-subaru-forester-sport/1736711707,0.4820466653519544,Kijiji
23,2020,Subaru,Forester,sport,2,23790,No change noted,First seen this week,0,23790,23790,0,0,90415,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735919518,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-subaru-forester-2-5i-sport/1735919518,0.4841834115896034,Kijiji
24,2020,Subaru,Forester,sport,2,23790,No change noted,First seen this week,0,23790,23790,0,0,90415,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735919313,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-subaru-forester-2-5i-sport/1735919313,0.4841834115896034,Kijiji
25,2020,Subaru,Forester,sport,2,23790,No change noted,First seen this week,0,23790,23790,0,0,90415,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735920107,https://www.kijiji.ca/v-cars-trucks/bedford/2020-subaru-forester-2-5i-sport/1735920107,0.4841834115896034,Kijiji
26,2023,Subaru,Forester,touring,3,28850,No change noted,First seen this week,0,28850,28850,0,0,108512,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735359697,https://www.kijiji.ca/v-cars-trucks/guelph/2023-subaru-forester-touring-awd-sunroof-adaptive-cruise/1735359697,0.48539104495798224,Kijiji
27,2020,Subaru,Forester,limited,2,24890,No change noted,First seen this week,0,24890,24890,0,0,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735711468,https://www.kijiji.ca/v-cars-trucks/bedford/2020-subaru-forester-2-5i-limited/1735711468,0.48663905631373966,Kijiji
28,2020,Subaru,Forester,limited,2,24890,No change noted,First seen this week,0,24890,24890,0,0,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735711091,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-subaru-forester-2-5i-limited/1735711091,0.48663905631373966,Kijiji
29,2020,Subaru,Forester,limited,2,24890,No change noted,First seen this week,0,24890,24890,0,0,78358,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735710730,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-subaru-forester-2-5i-limited/1735710730,0.48663905631373966,Kijiji
30,2022,Subaru,Forester,sport,2,26908,No change noted,First seen this week,0,26908,26908,0,0,54481,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735400798,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-subaru-forester-sport-eyesight-cvt/1735400798,0.4895928176562605,Kijiji
